27-05- 2024 13:00:35 - __main__ - INFO - Scraping started
27-05- 2024 13:00:37 - __main__ - INFO - Element 1 gescraped.
27-05- 2024 13:00:37 - __main__ - INFO - Element 2 gescraped.
27-05- 2024 13:00:37 - __main__ - INFO - Element 3 gescraped.
27-05- 2024 13:00:37 - __main__ - INFO - Element 4 gescraped.
27-05- 2024 13:00:37 - __main__ - INFO - Element 5 gescraped.
27-05- 2024 13:00:37 - __main__ - INFO - Element 6 gescraped.
27-05- 2024 13:00:37 - __main__ - INFO - Element 7 gescraped.
27-05- 2024 13:00:37 - __main__ - INFO - Element 8 gescraped.
27-05- 2024 13:00:38 - __main__ - INFO - Element 9 gescraped.
27-05- 2024 13:00:38 - __main__ - INFO - Element 10 gescraped.
27-05- 2024 13:00:38 - __main__ - INFO - Element 11 gescraped.
27-05- 2024 13:00:38 - __main__ - INFO - Element 12 gescraped.
27-05- 2024 13:00:38 - __main__ - INFO - Element 13 gescraped.
27-05- 2024 13:00:38 - __main__ - INFO - Element 14 gescraped.
27-05- 2024 13:00:38 - __main__ - INFO - Element 15 gescraped.
27-05- 2024 13:00:38 - __main__ - INFO - Element 16 gescraped.
27-05- 2024 13:00:38 - __main__ - INFO - Element 17 gescraped.
27-05- 2024 13:00:39 - __main__ - INFO - Element 18 gescraped.
27-05- 2024 13:00:39 - __main__ - INFO - Element 19 gescraped.
27-05- 2024 13:00:39 - __main__ - INFO - Element 20 gescraped.
27-05- 2024 13:00:39 - __main__ - INFO - Element 21 gescraped.
27-05- 2024 13:00:39 - __main__ - INFO - Element 22 gescraped.
27-05- 2024 13:00:39 - __main__ - INFO - Element 23 gescraped.
27-05- 2024 13:00:39 - __main__ - INFO - Element 24 gescraped.
27-05- 2024 13:00:39 - __main__ - INFO - Element 25 gescraped.
27-05- 2024 13:00:39 - __main__ - INFO - Element 26 gescraped.
27-05- 2024 13:00:40 - __main__ - INFO - Element 27 gescraped.
27-05- 2024 13:00:40 - __main__ - INFO - Element 28 gescraped.
27-05- 2024 13:00:40 - __main__ - INFO - Element 29 gescraped.
27-05- 2024 13:00:40 - __main__ - INFO - Element 30 gescraped.
27-05- 2024 13:00:40 - __main__ - INFO - Element 31 gescraped.
27-05- 2024 13:00:40 - __main__ - INFO - Element 32 gescraped.
27-05- 2024 13:00:40 - __main__ - INFO - Element 33 gescraped.
27-05- 2024 13:00:40 - __main__ - INFO - Element 34 gescraped.
27-05- 2024 13:00:40 - __main__ - INFO - Element 35 gescraped.
27-05- 2024 13:00:41 - __main__ - INFO - Element 36 gescraped.
27-05- 2024 13:00:41 - __main__ - INFO - Element 37 gescraped.
27-05- 2024 13:00:41 - __main__ - INFO - Element 38 gescraped.
27-05- 2024 13:00:41 - __main__ - INFO - Element 39 gescraped.
27-05- 2024 13:00:41 - __main__ - INFO - Element 40 gescraped.
27-05- 2024 13:00:41 - __main__ - INFO - Element 41 gescraped.
27-05- 2024 13:00:41 - __main__ - INFO - Element 42 gescraped.
